id,job_title,Cards_titles,Ratings,Reviews,Salaries,Jobs_count,logo,url
8,Sales Manager,IKEA,3.8,15.8K,102.5K,2.5K,https://media.glassdoor.com/sql/3957/ikea-squareLogo-1699869713959.png,"https://www.glassdoor.com.au/Overview/Working-at-IKEA-EI_IE3957.11,15.htm"
9,Sales Manager,Coles Group,3.5,7K,91K,835,https://media.glassdoor.com/sql/3788/coles-squareLogo-1721873603131.png,"https://www.glassdoor.com.au/Overview/Working-at-Coles-Group-EI_IE3788.11,22.htm"
0,General Practitioner,Gorilla Jobs,3.9,10,339.5K,124,https://media.glassdoor.com/sql/2073275/gorilla-jobs-squarelogo-1560321877232.png,"https://www.glassdoor.com.au/Overview/Working-at-Gorilla-Jobs-EI_IE2073275.11,23.htm"
1,General Practitioner,Medfuture Medical & Healthcare Recruitment,3.6,23,281.5K,--,https://media.glassdoor.com/sql/3078246/medfuture-medical-and-healthcare-recruitment-squareLogo-1719981104330.png,"https://www.glassdoor.com.au/Overview/Working-at-Medfuture-Medical-and-Healthcare-Recruitment-EI_IE3078246.11,55.htm"
2,General Practitioner,SelfEmployed.com,4.4,15.8K,150K,--,https://www.glassdoor.com.au/assets/images/infosite/header-company-logo.png,"https://www.glassdoor.com.au/Overview/Working-at-SelfEmployed-com-EI_IE5529631.11,27.htm"
3,General Practitioner,Healthcare Professionals Group Salaries,3.7,16,350K,--,https://media.glassdoor.com/sql/3081189/healthcare-professionals-group-squarelogo-1629449278613.png,"https://www.glassdoor.com.au/Overview/Working-at-Healthcare-Professionals-Group-EI_IE3081189.11,41.htm"
4,General Practitioner,DXC Medical Recruitment Salaries,5,2,379K,170,https://media.glassdoor.com/sql/3815159/dxc-medical-recruitment-squarelogo-1617250333488.png,"https://www.glassdoor.com.au/Overview/Working-at-DXC-Medical-Recruitment-EI_IE3815159.11,34.htm"
5,General Practitioner,Wavelength International Salaries,4.3,6,353K,--,https://media.glassdoor.com/sql/1811319/wavelength-international-squareLogo-1668033478116.png,"https://www.glassdoor.com.au/Overview/Working-at-Wavelength-International-EI_IE1811319.11,35.htm"
6,General Practitioner,Randstad,3.7,11K,184.5K,27.6K,https://media.glassdoor.com/sql/302306/randstad-squarelogo-1560525173615.png,"https://www.glassdoor.com.au/Overview/Working-at-Randstad-EI_IE302306.11,19.htm"
7,General Practitioner,Rural Workforce Agency Victoria,3.7,8,254.5K,--,https://media.glassdoor.com/sql/1321715/rural-workforce-agency-victoria-squarelogo-1631007908447.png,"https://www.glassdoor.com.au/Overview/Working-at-Rural-Workforce-Agency-Victoria-EI_IE1321715.11,42.htm"
8,General Practitioner,Sigma Resourcing,5,5,350K,--,https://media.glassdoor.com/sql/1000039/sigma-resourcing-squarelogo-1432597573549.png,"https://www.glassdoor.com.au/Overview/Working-at-Sigma-Resourcing-EI_IE1000039.11,27.htm"
9,General Practitioner,Charterhouse Partnership,4.4,152,175K,145,https://media.glassdoor.com/sql/311741/charterhouse-partnership-squarelogo-1579521172324.png,"https://www.glassdoor.com.au/Overview/Working-at-Charterhouse-Partnership-EI_IE311741.11,35.htm"
